"","Gene_name","EntrezID"
"1","Aatf","56321"
"2","Actn1","109711"
"3","Actn4","60595"
"4","Adnp2","240442"
"5","Aebp2","11569"
"6","Aff1","17355"
"7","Aff3","16764"
"8","Ahctf1","226747"
"9","Aip","11632"
"10","Akna","100182"
"11","Alx1","216285"
"12","Alx3","11694"
"13","Alx4","11695"
"14","Ankra2","68558"
"15","Ankrd1","107765"
"16","Apex1","11792"
"17","Arid3a","13496"
"18","Arid3b","56380"
"19","Arid5b","71371"
"20","Arl2bp","107566"
"21","Arnt2","11864"
"22","Ascc1","69090"
"23","Ascl1","17172"
"24","Asxl1","228790"
"25","Atf1","11908"
"26","Atf2","11909"
"27","Atf3","11910"
"28","Atf5","107503"
"29","Atf6","226641"
"30","Atf6b","12915"
"31","Atf7ip","54343"
"32","Atxn7l3","217218"
"33","Bach1","12013"
"34","Bach2","12014"
"35","Basp1","70350"
"36","Batf3","381319"
"37","Bmpr1a","12166"
"38","Brd7","26992"
"39","Btg2","12227"
"40","C1d","57316"
"41","C1qbp","12261"
"42","Calcoco1","67488"
"43","Camta1","100072"
"44","Camta2","216874"
"45","Carm1","59035"
"46","Casp8ap2","26885"
"47","Cbfa2t2","12396"
"48","Cbfa2t3","12398"
"49","Cbfb","12400"
"50","Cc2d1a","212139"
"51","Cc2d1b","319965"
"52","Ccar1","67500"
"53","Ccnd1","12443"
"54","Cdx1","12590"
"55","Cdx2","12591"
"56","Cdx4","12592"
"57","Cdyl","12593"
"58","Cebpg","12611"
"59","Cebpz","12607"
"60","Cenpj","219103"
"61","Cggbp1","106143"
"62","Chchd3","66075"
"63","Ciao1","26371"
"64","Cited1","12705"
"65","Cited2","17684"
"66","Cited4","56222"
"67","Cops2","12848"
"68","Cops5","26754"
"69","Creb1","12912"
"70","Creb3l1","26427"
"71","Creb3l2","208647"
"72","Crebbp","12914"
"73","Crem","12916"
"74","Cry1","12952"
"75","Csrnp1","215418"
"76","Csrnp2","207785"
"77","Ctbp1","13016"
"78","Ctbp2","13017"
"79","Ctcf","13018"
"80","Ctnnb1","12387"
"81","Dach1","13134"
"82","Daxx","13163"
"83","Ddx1","104721"
"84","Ddx17","67040"
"85","Ddx54","71990"
"86","Deaf1","54006"
"87","Dlx2","13392"
"88","Dlx3","13393"
"89","Dlx5","13395"
"90","Dmap1","66233"
"91","Dmrt2","226049"
"92","Dmrta2","242620"
"93","Dppa2","73703"
"94","Dppa4","73693"
"95","Dppa5a","434423"
"96","Drap1","66556"
"97","Dyrk1b","13549"
"98","E2f1","13555"
"99","E2f2","242705"
"100","E2f4","104394"
"101","E2f5","13559"
"102","E2f6","50496"
"103","E2f7","52679"
"104","E2f8","108961"
"105","E4f1","13560"
"106","Ebf2","13592"
"107","Ecsit","26940"
"108","Edf1","59022"
"109","Egr1","13653"
"110","Eid1","58521"
"111","Elf1","13709"
"112","Elk1","13712"
"113","Elk3","13713"
"114","Elk4","13714"
"115","Elob","67673"
"116","Elp2","58523"
