OntologyAnnotation.subject.symbol,OntologyAnnotation.subject.background.name,Zygosity,ContainsHoloprosencephaly,CombinedPhenotypes,CombinedPubmed,HPE_strains
Acvr1b<tm1.1(KOMP)Vlcg>/Acvr1b<+>,C57BL/6N-Acvr1b<tm1.1(KOMP)Vlcg>/Ucd,ht,FALSE,"abnormal coat/ hair morphology, abnormal uterus morphology, enlarged lymph nodes, small adrenal glands, small testis",NA,C57BL/6N
Acvr1b<tm1Enl>/Acvr1b<tm1Enl>,either: (involves: 129S4/SvJae) or (involves: 129S4/SvJae * C57BL/6),hm,FALSE,"abnormal cell differentiation, abnormal cell differentiation, abnormal distal visceral endoderm morphology, abnormal embryonic epiblast morphology, abnormal extraembryonic ectoderm morphology, abnormal visceral endoderm morphology, abnormal visceral endoderm morphology, absent egg cylinders, absent mesoderm, disorganized extraembryonic tissue, embryonic growth arrest, embryonic lethality during organogenesis, complete penetrance, embryonic lethality during organogenesis, complete penetrance, failure of primitive streak formation",9512518,129S4/SvJae
B9d1<tm1a(EUCOMM)Wtsi>/B9d1<+>,C57BL/6N-B9d1<tm1a(EUCOMM)Wtsi>/Ics,ht,FALSE,"abnormal response to tactile stimuli, abnormal startle reflex, increased body weight",NA,C57BL/6N
B9d1<tm1a(EUCOMM)Wtsi>/B9d1<tm1a(EUCOMM)Wtsi>,involves: C57BL/6N,hm,FALSE,"lethality throughout fetal growth and development, complete penetrance",21763481,C57BL/6N
B9d1<tm1a(EUCOMM)Wtsi>/B9d1<tm1a(EUCOMM)Wtsi>,involves: C57BL/6N * CD-1,hm,TRUE,"abnormal bile duct development, abnormal bile duct development, abnormal facial morphology, abnormal kidney morphology, abnormal liver morphology, abnormal renal tubule epithelial cell primary cilium morphology, bile duct hyperplasia, cleft palate, decreased embryonic cilium length, decreased embryonic cilium number, dextrocardia, dilated nephron, enlarged kidney, exencephaly, holoprosencephaly, lethality throughout fetal growth and development, incomplete penetrance, microphthalmia, perinatal lethality, complete penetrance, polycystic kidney, preaxial polydactyly, preaxial polydactyly, renal tubule hypertrophy, telencephalon hypoplasia, thin myocardium, ventricular septal defect",21763481,C57BL/6N|CD
Bmp4<tm1.1Jlch>/Bmp4<+>,B6.129-Bmp4<tm1.1Jlch>,ht,FALSE,decreased primordial germ cell number,16624858,B6|129
Bmp4<tm1Blh>/Bmp4<+>,B6.129S2-Bmp4<tm1Blh>,ht,FALSE,"abnormal anterior eye segment morphology, abnormal anterior eye segment morphology, abnormal canal of Schlemm morphology, abnormal canal of Schlemm morphology, abnormal cornea morphology, abnormal cornea morphology, abnormal eye electrophysiology, abnormal eye electrophysiology, abnormal eye morphology, abnormal eye morphology, abnormal eye size, abnormal eye size, abnormal fertility/fecundity, abnormal fertility/fecundity, abnormal iridocorneal angle, abnormal iridocorneal angle, abnormal line of Schwalbe morphology, abnormal line of Schwalbe morphology, abnormal male reproductive system morphology, abnormal male reproductive system morphology, abnormal optic disk morphology, abnormal optic disk morphology, abnormal optic nerve morphology, abnormal optic nerve morphology, abnormal organ of Corti morphology, abnormal organ of Corti morphology, abnormal organ of Corti morphology, abnormal organ of Corti morphology, abnormal placement of pupils, abnormal placement of pupils, abnormal posterior eye segment morphology, abnormal posterior eye segment morphology, abnormal prostate gland anterior lobe morphology, abnormal prostate gland anterior lobe morphology, abnormal prostate gland anterior lobe morphology, abnormal prostate gland anterior lobe morphology, abnormal retina blood vessel pattern, abnormal retina blood vessel pattern, abnormal retina morphology, abnormal retina morphology, abnormal retina photoreceptor layer morphology, abnormal retina photoreceptor layer morphology, abnormal seminiferous tubule morphology, abnormal seminiferous tubule morphology, abnormal sensory neuron innervation pattern, abnormal sensory neuron innervation pattern, abnormal vestibulocollic reflex, abnormal vestibulocollic reflex, abnormal vestibulocollic reflex, abnormal vestibulocollic reflex, abnormal vestibulocollic reflex, abnormal vestibulocollic reflex, abnormal vitreous body morphology, abnormal vitreous body morphology, absent Schlemm's canal, absent Schlemm's canal, absent optic nerve, absent optic nerve, absent trabecular meshwork, absent trabecular meshwork, anophthalmia, anophthalmia, anterior cortical cataract, anterior cortical cataract, anterior iris synechia, anterior iris synechia, anterior subcapsular cataract, anterior subcapsular cataract, cataract, cataract, circling, circling, circling, circling, circling, circling, corneal opacity, corneal opacity, decreased cornea thickness, decreased cornea thickness, decreased litter size, decreased litter size, decreased vestibular hair cell stereocilia number, decreased vestibular hair cell stereocilia number, decreased vestibular hair cell stereocilia number, decreased vestibular hair cell stereocilia number, decreased vestibular hair cell stereocilia number, decreased vestibular hair cell stereocilia number, hydronephrosis, hydronephrosis, hypoplastic trabecular meshwork, hypoplastic trabecular meshwork, impaired hearing, impaired hearing, increased opacity of vitreous body, increased opacity of vitreous body, increased or absent threshold for auditory brainstem response, increased or absent threshold for auditory brainstem response, increased or absent threshold for auditory brainstem response, increased or absent threshold for auditory brainstem response, iris hypoplasia, iris hypoplasia, irregularly shaped pupil, irregularly shaped pupil, kidney atrophy, kidney atrophy, kidney cyst, kidney cyst, kidney cyst, kidney cyst, microphthalmia, microphthalmia, ocular hypertension, ocular hypertension, perinatal lethality, incomplete penetrance, perinatal lethality, incomplete penetrance, persistence of hyaloid vascular system, persistence of hyaloid vascular system, persistence of hyaloid vascular system, persistence of hyaloid vascular system, polydactyly, polydactyly, reduced female fertility, reduced female fertility, retina detachment, retina detachment, short frontal bone, short frontal bone, short nasal bone, short nasal bone, single kidney, single kidney, thin retina ganglion layer, thin retina ganglion layer, thin retina inner nuclear layer, thin retina inner nuclear layer","11722794, 9268572, 17275231",B6|129S2
Bmp4<tm1Blh>/Bmp4<+>,involves: 129S2/SvPas * 129S6/SvEvTac,ht,FALSE,"abnormal eye morphology, abnormal eye morphology, abnormal iris morphology, abnormal iris morphology, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number, persistence of hyaloid vascular system, persistence of hyaloid vascular system","11722794, 10049358",129S2/SvPas|129S6/SvEvTac
Bmp4<tm1Blh>/Bmp4<+>,involves: 129S2/SvPas * 129S6/SvEvTac * Black Swiss,ht,FALSE,"behavior/neurological phenotype, behavior/neurological phenotype",18404215,129S2/SvPas|129S6/SvEvTac|BlackSwiss
Bmp4<tm1Blh>/Bmp4<+>,involves: 129S2/SvPas * BALB/cJ,ht,FALSE,"persistence of hyaloid vascular system, persistence of hyaloid vascular system",11722794,129S2/SvPas|BALB/cJ
